Location,Time,Loc_Time,TotalMigrants,GDP,NetMigrations
Djibouti,2005,Djibouti2005,92110,904.7366795,-3.779
Djibouti,2010,Djibouti2010,102307,1343.275125,2.129
Djibouti,2015,Djibouti2015,112351,2652.513228,1.723
Djibouti,2020,Djibouti2020,119738,3219.701128,0.744
Dominica,1990,Dominica1990,2519,2860.322479,-1.553
Dominica,1995,Dominica1995,3121,3860.800538,-0.851
Dominica,2000,Dominica2000,3723,4787.801441,-0.994
Dominica,2005,Dominica2005,4744,5160.889141,-0.314
Dominica,2010,Dominica2010,8110,6967.364955,-0.243
Dominica,2015,Dominica2015,8093,7597.288894,-0.393
Dominica,2020,Dominica2020,8284,7003.859021,0.1
Dominican Republic,1990,Dominican Republic1990,291151,991.6148411,-27.399
Dominican Republic,1995,Dominican Republic1995,323381,2127.748089,-29.61
Dominican Republic,2000,Dominican Republic2000,355611,2869.178139,-30.231
Dominican Republic,2005,Dominican Republic2005,375417,3932.784407,-30.883
Dominican Republic,2010,Dominican Republic2010,395479,5555.392014,-30.489
